circuit_id,name,lat,long,locality,country,Wikipedia_url 
silverstone,Silverstone Circuit,52.0786,-1.01694,Silverstone,United Kingdom,https://en.wikipedia.org/wiki/Silverstone_Circuit
monaco,Circuit de Monaco,43.7347,7.42056,Monte-Carlo,Monaco,https://en.wikipedia.org/wiki/Circuit_de_Monaco
indianapolis,Indianapolis Motor Speedway,39.795,-86.2347,Indianapolis,United States,https://en.wikipedia.org/wiki/Indianapolis_Motor_Speedway
bremgarten,Circuit Bremgarten,46.9589,7.40194,Bern,Switzerland,https://en.wikipedia.org/wiki/Circuit_Bremgarten
spa,Circuit de Spa-Francorchamps,50.4372,5.97139,Spa,Belgium,https://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps
reims,Reims-Gueux,49.2542,3.93083,Reims,France,https://en.wikipedia.org/wiki/Reims-Gueux
monza,Autodromo Nazionale di Monza,45.6156,9.28111,Monza,Italy,https://en.wikipedia.org/wiki/Autodromo_Nazionale_di_Monza
nurburgring,Nurburgring,50.3356,6.9475,Nurburg,Germany,https://en.wikipedia.org/wiki/N%C3%BCrburgring
pedralbes,Circuit de Pedralbes,41.3903,2.11667,Barcelona,Spain,https://en.wikipedia.org/wiki/Pedralbes_Circuit
essarts,Rouen-Les-Essarts,49.3306,1.00458,Rouen,France,https://en.wikipedia.org/wiki/Rouen-Les-Essarts
zandvoort,Circuit Park Zandvoort,52.3888,4.54092,Zandvoort,Netherlands,https://en.wikipedia.org/wiki/Circuit_Zandvoort
galvez,Aut�dromo Oscar y Juan G�lvez,-34.6943,-58.4593,Buenos Aires,Argentina,https://en.wikipedia.org/wiki/Aut%C3%B3dromo_Oscar_y_Juan_G%C3%A1lvez
aintree,Aintree,53.4769,-2.94056,Liverpool,United Kingdom,https://en.wikipedia.org/wiki/Aintree_Motor_Racing_Circuit
pescara,Pescara Circuit,42.475,14.1508,Pescara,Italy,https://en.wikipedia.org/wiki/Pescara_Circuit
boavista,Circuito da Boavista,41.1705,-8.67325,Oporto,Portugal,https://en.wikipedia.org/wiki/Circuito_da_Boavista
ain-diab,Ain Diab,33.5786,-7.6875,Casablanca,Morocco,https://en.wikipedia.org/wiki/Ain-Diab_Circuit
avus,AVUS,52.4806,13.2514,Berlin,Germany,https://en.wikipedia.org/wiki/AVUS
monsanto,Monsanto Park Circuit,38.7197,-9.20306,Lisbon,Portugal,https://en.wikipedia.org/wiki/Circuito_de_Monsanto
sebring,Sebring International Raceway,27.4547,-81.3483,Florida,United States,https://en.wikipedia.org/wiki/Sebring_International_Raceway
riverside,Riverside International Raceway,33.937,-117.273,California,United States,https://en.wikipedia.org/wiki/Riverside_International_Raceway
watkins_glen,Watkins Glen,42.3369,-76.9272,New York State,United States,"https://en.wikipedia.org/wiki/Watkins_Glen_Grand_Prix_Course,_1948%E2%80%931952"
george,Prince George Circuit,-33.0486,27.8736,Eastern Cape Province,South Africa,https://en.wikipedia.org/wiki/Prince_George_Circuit
rodriguez,Aut�dromo Hermanos Rodr�guez,19.4042,-99.0907,Mexico City,Mexico,https://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez
brands_hatch,Brands Hatch,51.3569,0.263056,Kent,United Kingdom,https://en.wikipedia.org/wiki/Brands_Hatch
zeltweg,Zeltweg,47.2039,14.7478,Styria,Austria,https://en.wikipedia.org/wiki/Zeltweg_Air_Base
charade,Charade Circuit,45.7472,3.03889,Clermont-Ferrand,France,https://en.wikipedia.org/wiki/Circuit_de_Charade
kyalami,Kyalami,-25.9894,28.0767,Midrand,South Africa,https://en.wikipedia.org/wiki/Kyalami
lemans,Le Mans,47.95,0.224231,Le Mans,France,https://en.wikipedia.org/wiki/Le_Mans
mosport,Mosport International Raceway,44.0481,-78.6756,Ontario,Canada,https://en.wikipedia.org/wiki/Canadian_Tire_Motorsport_Park
jarama,Circuito de Madrid Jarama,40.6171,-3.58558,Madrid,Spain,https://en.wikipedia.org/wiki/Circuito_del_Jarama
tremblant,Circuit Mont-Tremblant,46.1877,-74.6099,Quebec,Canada,https://en.wikipedia.org/wiki/Circuit_Mont-Tremblant
montjuic,Montju�c circuit,41.3664,2.15167,Barcelona,Spain,https://en.wikipedia.org/wiki/Montju%C3%AFc_circuit
hockenheimring,Hockenheimring,49.3278,8.56583,Hockenheim,Germany,https://en.wikipedia.org/wiki/Hockenheimring
