season,round,constructor_id,position,points,wins
1950,7,alfa,,0.0,6
1950,7,kurtis_kraft,,0.0,1
1950,7,ferrari,,0.0,0
1950,7,deidt,,0.0,0
1950,7,lago,,0.0,0
1950,7,maserati,,0.0,0
1950,7,simca,,0.0,0
1950,7,era,,0.0,0
1950,7,moore,,0.0,0
1950,7,lesovsky,,0.0,0
1950,7,alta,,0.0,0
1950,7,nichels,,0.0,0
1950,7,marchese,,0.0,0
1950,7,stevens,,0.0,0
1950,7,langley,,0.0,0
1950,7,ewing,,0.0,0
1950,7,rae,,0.0,0
1950,7,olson,,0.0,0
1950,7,wetteroth,,0.0,0
1950,7,cooper,,0.0,0
1950,7,snowberger,,0.0,0
1950,7,adams,,0.0,0
1950,7,milano,,0.0,0
1950,7,watson,,0.0,0
1951,8,alfa,,0.0,5
1951,8,ferrari,,0.0,3
1951,8,kurtis_kraft,,0.0,1
1951,8,lago,,0.0,0
1951,8,sherman,,0.0,0
1951,8,brm,,0.0,0
1951,8,schroeder,,0.0,0
1951,8,simca,,0.0,0
1951,8,moore,,0.0,0
1951,8,maserati,,0.0,0
1951,8,era,,0.0,0
1951,8,deidt,,0.0,0
1951,8,hwm,,0.0,0
1951,8,osca,,0.0,0
1951,8,kuzma,,0.0,0
1951,8,alta,,0.0,0
1951,8,pawl,,0.0,0
1951,8,hall,,0.0,0
1951,8,marchese,,0.0,0
1951,8,veritas,,0.0,0
1951,8,bromme,,0.0,0
1951,8,trevis,,0.0,0
1951,8,lesovsky,,0.0,0
1951,8,watson,,0.0,0
1952,8,ferrari,,0.0,7
1952,8,kuzma,,0.0,1
1952,8,kurtis_kraft,,0.0,0
1952,8,maserati,,0.0,0
1952,8,gordini,,0.0,0
1952,8,cooper,,0.0,0
1952,8,connaught,,0.0,0
1952,8,lesovsky,,0.0,0
1952,8,frazer_nash,,0.0,0
1952,8,hwm,,0.0,0
1952,8,simca,,0.0,0
1952,8,veritas,,0.0,0
1952,8,afm,,0.0,0
1952,8,alta,,0.0,0
1952,8,bmw,,0.0,0
1952,8,watson,,0.0,0
1952,8,stevens,,0.0,0
1952,8,sherman,,0.0,0
1952,8,trevis,,0.0,0
1952,8,era,,0.0,0
1952,8,butterworth,,0.0,0
1952,8,bromme,,0.0,0
1952,8,deidt,,0.0,0
1952,8,osca,,0.0,0
1952,8,cisitalia,,0.0,0
1953,9,ferrari,,0.0,7
1953,9,maserati,,0.0,1
1953,9,kurtis_kraft,,0.0,1
1953,9,gordini,,0.0,0
1953,9,cooper,,0.0,0
1953,9,connaught,,0.0,0
1953,9,hwm,,0.0,0
1953,9,stevens,,0.0,0
1953,9,kuzma,,0.0,0
1953,9,veritas,,0.0,0
1953,9,osca,,0.0,0
1953,9,bmw,,0.0,0
1953,9,afm,,0.0,0
1953,9,schroeder,,0.0,0
1953,9,simca,,0.0,0
1953,9,emw,,0.0,0
1953,9,turner,,0.0,0
1953,9,lesovsky,,0.0,0
1953,9,watson,,0.0,0
1953,9,bromme,,0.0,0
1953,9,del_roy,,0.0,0
1955,7,mercedes,,0.0,5
1955,7,ferrari,,0.0,1
1955,7,kurtis_kraft,,0.0,1
1955,7,lancia,,0.0,0
1955,7,maserati,,0.0,0
1955,7,kuzma,,0.0,0
1955,7,gordini,,0.0,0
1955,7,vanwall,,0.0,0
1955,7,trevis,,0.0,0
1955,7,epperly,,0.0,0
1955,7,cooper,,0.0,0
1955,7,connaught,,0.0,0
1955,7,phillips,,0.0,0
1955,7,schroeder,,0.0,0
1955,7,hwm,,0.0,0
1955,7,pawl,,0.0,0
1955,7,arzani-volpini,,0.0,0
1955,7,stevens,,0.0,0
1955,7,pankratz,,0.0,0
1956,8,ferrari,,0.0,6
1956,8,maserati,,0.0,2
1956,8,watson,,0.0,1
1956,8,kurtis_kraft,,0.0,0
1956,8,connaught,,0.0,0
1956,8,phillips,,0.0,0
1956,8,vanwall,,0.0,0
1956,8,gordini,,0.0,0
1956,8,kuzma,,0.0,0
1956,8,lesovsky,,0.0,0
1956,8,stevens,,0.0,0
1956,8,cooper,,0.0,0
1956,8,brm,,0.0,0
1956,8,bugatti,,0.0,0
1956,8,emeryson,,0.0,0
1957,8,maserati,,0.0,4
1957,8,vanwall,,0.0,4
1957,8,epperly,,0.0,1
1957,8,ferrari,,0.0,0
1957,8,kuzma,,0.0,0
1957,8,kurtis_kraft,,0.0,0
1957,8,connaught,,0.0,0
1957,8,cooper,,0.0,0
1957,8,phillips,,0.0,0
1957,8,lesovsky,,0.0,0
1957,8,porsche,,0.0,0
1957,8,brm,,0.0,0
1957,8,dunn,,0.0,0
1957,8,watson,,0.0,0
1958,11,vanwall,1.0,48.0,6
1958,11,ferrari,2.0,40.0,2
1958,11,cooper,3.0,31.0,2
1958,11,brm,4.0,18.0,0
1958,11,maserati,5.0,6.0,0
1958,11,team_lotus,6.0,3.0,0
1958,11,porsche,,0.0,0
1958,11,connaught,,0.0,0
1959,9,cooper-climax,1.0,40.0,5
1959,9,ferrari,2.0,32.0,2
1959,9,brm,3.0,18.0,1
1959,9,team_lotus,4.0,5.0,0
1959,9,aston_martin,,0.0,0
1959,9,cooper-maserati,,0.0,0
1959,9,kurtis_kraft,,0.0,0
1959,9,porsche,,0.0,0
1959,9,maserati,,0.0,0
1959,9,cooper-borgward,,0.0,0
1959,9,cooper-osca,,0.0,0
1959,9,tec-mec,,0.0,0
1959,9,connaught,,0.0,0
1959,9,jbw,,0.0,0
1959,9,vanwall,,0.0,0
1960,10,cooper-climax,1.0,48.0,6
1960,10,team_lotus,2.0,34.0,2
1960,10,ferrari,3.0,26.0,1
1960,10,brm,4.0,8.0,0
1960,10,cooper-maserati,5.0,3.0,0
1960,10,cooper-castellotti,6.0,3.0,0
1960,10,porsche,7.0,1.0,0
1960,10,behra-porsche,,0.0,0
1960,10,scarab,,0.0,0
1960,10,aston_martin,,0.0,0
1960,10,maserati,,0.0,0
1960,10,jbw,,0.0,0
1960,10,vanwall,,0.0,0
1961,8,ferrari,1.0,45.0,5
