constructor_id,name,nationality,Wikipedia_url
alfa,Alfa Romeo,Swiss,https://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One
lago,Talbot-Lago,French,https://en.wikipedia.org/wiki/Talbot-Lago_T26C
era,ERA,British,http://en.espn.co.uk/era/motorsport/team/292.html#Profile
maserati,Maserati,Italian,https://en.wikipedia.org/wiki/Maserati_in_motorsport
alta,Alta,British,https://f1.fandom.com/wiki/Alta_Car_and_Engineering_Company
ferrari,Ferrari,Italian,https://en.wikipedia.org/wiki/Scuderia_Ferrari
simca,Simca,French,https://f1.fandom.com/wiki/Simca-Gordini
cooper,Cooper,British,https://f1.fandom.com/wiki/Cooper_Car_Company
kurtis_kraft,Kurtis Kraft,American,https://en.wikipedia.org/wiki/Kurtis_Kraft
deidt,Deidt,American,https://en.wikipedia.org/wiki/Emil_Diedt
moore,Moore,American,https://www.formula1points.com/team/Moore
lesovsky,Lesovsky,American,https://www.formula1points.com/team/Lesovsky
nichels,Nichels,American,https://www.formula1points.com/team/Nichels
marchese,Marchese,American,https://f1.fandom.com/wiki/Carl_Marchese
stevens,Stevens,American,https://f1.fandom.com/wiki/Will_Stevens
langley,Langley,American,https://en.wikipedia.org/wiki/Langley_(constructor)
ewing,Ewing,American,https://f1.fandom.com/wiki/Wayne_Ewing
rae,Rae,American,https://www.4mula1stats.com/team/rae
olson,Olson,American,https://www.formula1points.com/team/Olson
wetteroth,Wetteroth,American,https://en.wikipedia.org/wiki/Wetteroth
snowberger,Snowberger,American,https://en.wikipedia.org/wiki/Russ_Snowberger
adams,Adams,American,https://en.wikipedia.org/wiki/Adams_(constructor)
watson,Watson,American,https://en.wikipedia.org/wiki/A._J._Watson
hwm,HWM,British,https://en.wikipedia.org/wiki/Hersham_and_Walton_Motors
veritas,Veritas,German,https://en.wikipedia.org/wiki/Veritas_(automobile)
sherman,Sherman,American,https://en.wikipedia.org/wiki/Roy_Sherman
schroeder,Schroeder,American,https://en.wikipedia.org/wiki/Gordon_Schroeder
kuzma,Kuzma,American,https://en.wikipedia.org/wiki/Eddie_Kuzma
pawl,Pawl,American,https://en.wikipedia.org/wiki/Pawl_(constructor)
hall,Hall,American,https://en.wikipedia.org/wiki/Hall_(constructor)
bromme,Bromme,American,https://en.wikipedia.org/wiki/Bromme
trevis,Trevis,American,https://en.wikipedia.org/wiki/Floyd_Trevis
brm,BRM,British,https://en.wikipedia.org/wiki/British_Racing_Motors
gordini,Gordini,French,https://en.wikipedia.org/wiki/Gordini
frazer_nash,Frazer Nash,British,https://en.wikipedia.org/wiki/Frazer_Nash
afm,AFM,German,https://en.wikipedia.org/wiki/Alex_von_Falkenhausen_Motorenbau
butterworth,Aston Butterworth,British,https://en.wikipedia.org/wiki/Aston_Butterworth
turner,Turner,American,https://en.wikipedia.org/wiki/Mike_Nazaruk
del_roy,Del Roy,American,https://en.wikipedia.org/wiki/Dallara
connaught,Connaught,British,https://en.wikipedia.org/wiki/Connaught_Engineering
phillips,Phillips,American,https://en.wikipedia.org/wiki/Phillips_(constructor)
pankratz,Pankratz,American,https://en.wikipedia.org/wiki/Pankratz
mercedes,Mercedes,German,https://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One
lancia,Lancia,Italian,https://en.wikipedia.org/wiki/Scuderia_Lancia
vanwall,Vanwall,British,
epperly,Epperly,American,
dunn,Dunn,American,
team_lotus,Team Lotus,British,
porsche,Porsche,German,
cooper-climax,Cooper-Climax,British,
cooper-maserati,Cooper-Maserati,British,
elder,Elder,American,
vhristensen,Christensen,American,
sutton,Sutton,American,
aston_martin,Aston Martin,British,
cooper-borgward,Cooper-Borgward,British,
behra-porsche,Behra-Porsche,Italian,
meskowski,Meskowski,American,
scarab,Scarab,American,
lotus-climax,Lotus-Climax,British,
de_tomaso-osca,De Tomaso-Osca,Italian,
emeryson,Emeryson,British,
jbw,JBW,British,
lola,Lola,British,
de_tomaso-alfa_romeo,De Tomaso-Alfa Romeo,Italian,
lotus-brm,Lotus-BRM,British,
brabham,Brabham,British,
ats,ATS,Italian,
scirocco,Scirocco,British,
tomaso,De Tomaso,Italian,
brp,BRP,British,
brabham-climax,Brabham-Climax,British,
brabham-brm,Brabham-BRM,British,
brabham-ford,Brabham-Ford,British,
lds-alfa_romeo,LDS-Alfa Romeo,South African,
re,RE,Rhodesian,
honda,Honda,Japanese,
brabham-repco,Brabham-Repco,British,
mclaren-ford,McLaren-Ford,British,
eagle-climax,Eagle-Climax,American,
mclaren-seren,McLaren-Serenissima,British,
cooper-ferrari,Cooper-Ferrari,British,
shannon,Shannon,British,
lds-climax,LDS-Climax,South African,
mclaren-brm,McLaren-BRM,British,
eagle-weslake,Eagle-Weslake,American,
matra,Matra,French,
lotus-ford,Lotus-Ford,British,
cooper-ats,Cooper-ATS,British,
