race_id,driver_id,constructor_id,position,q1,q2,q3
1994_1,senna,williams,1,1:15.962,,
1994_1,michael_schumacher,benetton,2,1:16.290,,
1994_1,alesi,ferrari,3,1:17.385,,
1994_1,damon_hill,williams,4,1:17.554,,
1994_1,frentzen,sauber,5,1:17.806,,
1994_1,morbidelli,footwork,6,1:17.866,,
1994_1,wendlinger,sauber,7,1:17.927,,
1994_1,hakkinen,mclaren,8,1:18.122,,
1994_1,verstappen,benetton,9,1:18.183,,
1994_1,katayama,tyrrell,10,1:18.194,,
1994_1,fittipaldi,footwork,11,1:18.204,,
1994_1,blundell,tyrrell,12,1:18.246,,
1994_1,comas,larrousse,13,1:18.321,,
1994_1,barrichello,jordan,14,1:18.414,,
1994_1,martini,minardi,15,1:18.659,,
1994_1,irvine,jordan,16,1:18.751,,
1994_1,berger,ferrari,17,1:18.855,,
1994_1,brundle,mclaren,18,1:18.864,,
1994_1,panis,ligier,19,1:19.304,,
1994_1,bernard,ligier,20,1:19.398,,
1994_1,herbert,team_lotus,21,1:19.483,,
1994_1,alboreto,minardi,22,1:19.517,,
1994_1,beretta,larrousse,23,1:19.524,,
1994_1,lamy,team_lotus,24,1:19.975,,
1994_1,gachot,pacific,25,1:20.729,,
1994_1,brabham,simtek,26,1:21.186,,
1994_2,senna,williams,1,1:10.218,,
1994_2,michael_schumacher,benetton,2,1:10.440,,
1994_2,damon_hill,williams,3,1:10.771,,
1994_2,hakkinen,mclaren,4,1:11.683,,
1994_2,berger,ferrari,5,1:11.744,,
1994_2,brundle,mclaren,6,1:12.351,,
1994_2,larini,ferrari,7,1:12.372,,
1994_2,barrichello,jordan,8,1:12.409,,
1994_2,fittipaldi,footwork,9,1:12.444,,
1994_2,verstappen,benetton,10,1:12.554,,
1994_2,frentzen,sauber,11,1:12.686,,
1994_2,blundell,tyrrell,12,1:12.751,,
1994_2,morbidelli,footwork,13,1:12.866,,
1994_2,katayama,tyrrell,14,1:13.013,,
1994_2,alboreto,minardi,15,1:13.016,,
1994_2,comas,larrousse,16,1:13.111,,
1994_2,martini,minardi,17,1:13.529,,
1994_2,bernard,ligier,18,1:13.613,,
1994_2,wendlinger,sauber,19,1:13.855,,
1994_2,suzuki,jordan,20,1:13.932,,
1994_2,beretta,larrousse,21,1:14.101,,
1994_2,panis,ligier,22,1:14.106,,
1994_2,herbert,team_lotus,23,1:14.424,,
1994_2,lamy,team_lotus,24,1:14.657,,
1994_2,brabham,simtek,25,1:14.748,,
1994_2,ratzenberger,simtek,26,1:16.536,,
1994_3,senna,williams,1,1:21.548,,
1994_3,michael_schumacher,benetton,2,1:21.885,,
1994_3,berger,ferrari,3,1:22.113,,
1994_3,damon_hill,williams,4,1:22.168,,
1994_3,lehto,benetton,5,1:22.717,,
1994_3,larini,ferrari,6,1:22.841,,
1994_3,frentzen,sauber,7,1:23.119,,
